id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1296528265639576870,Lovely family home with pool,4827931,Janine,,Ward 115,-33.9311688,18.4076409,Entire home/apt,4500,4,0,,,1,342,0,
1296768295580208645,Luxury Apartment | Amazing Views | Spacious,162118845,Cade,,Ward 115,-33.91581939661507,18.421108044603308,Entire home/apt,6162,3,2,2024-12-09,2,10,346,2,
1296801558572799478,3 Bed beach holiday bliss,1335092,Tracey,,Ward 23,-33.794393853814086,18.45896040793456,Entire home/apt,,5,0,,,1,19,0,
1296818491323239120,"The Citadel @ Tether and Tease, Adult Playrooms",663698156,Stefanie,,Ward 55,-33.8808909,18.5038341,Entire home/apt,4640,1,0,,,2,364,0,
1296858318250174305,Durbanville Family home,127294132,Janine,,Ward 21,-33.8485647,18.6434871,Entire home/apt,2000,1,3,2024-12-24,3,1,331,3,
1296864269753232218,Villa Amara - Luxury 12 Sleeper with Heated Pool,364324225,Janene,,Ward 23,-33.8064267,18.4741769,Entire home/apt,7600,2,1,2024-12-17,1,2,216,1,
1296877373919792675,"Tranquil, cosy haven 5 mins from Camps Bay beach",330374955,Rosa,,Ward 54,-33.95597842865378,18.386780811834697,Entire home/apt,1200,4,0,,,1,279,0,
1296904917246486189,Newly renovated  family home in the City,7934502,Julia,,Ward 77,-33.93646895872012,18.42618999947508,Entire home/apt,,5,1,2024-12-04,1,1,0,1,
1297055521328535229,Central Claremont family home,884661,Bronwyn,,Ward 58,-33.97871,18.4859,Entire home/apt,2000,5,0,,,1,309,0,
1297077879439037477,House sleeps 4. Private pool and garden. Views.,110314553,Lisa,,Ward 74,-34.033081990275285,18.345690742135048,Entire home/apt,3500,5,0,,,2,59,0,
1297079899529674347,"Cosy cottage - beach access & fireplace, Fish Hoek",663744900,Deon,,Ward 64,-34.13523745010244,18.4351100104724,Entire home/apt,1509,2,0,,,2,345,0,
1297137813261833549,Bantry Bay Seaside Lux Apartment,525031641,Aidan,,Ward 54,-33.9260985,18.3788185,Entire home/apt,18000,4,0,,,5,256,0,
1297154644973767275,3 bedrooms family home.,365644191,Nosipho J.,,Ward 113,-33.8130351,18.5110337,Entire home/apt,3543,5,0,,,1,30,0,
1297157197940142770,Design-chic sea-view Cape T. apt,463242,Megan,,Ward 54,-33.9189209,18.3944465,Entire home/apt,3500,7,0,,,1,54,0,
1297160224146067384,Sunny Tamboerskloof,23015925,Chantal,,Ward 77,-33.92901092737218,18.403981319836927,Entire home/apt,1800,14,0,,,1,13,0,
1297184873461799469,A 5 min walk to the beach,182739441,Liza,,Ward 64,-34.1009389,18.4757618,Entire home/apt,870,2,1,2024-11-28,1,1,313,1,
1297216586354237889,Modern & Homely 5km to the beach,318505098,Liziwe Khayakazi,,Ward 107,-33.80133650000001,18.5146367,Private room,786,1,4,2024-12-24,3.75,1,357,4,
1297229914830705114,Ideal location in the heart of Noordhoek,25806733,Chloe,,Ward 69,-34.10076711891109,18.371499963104725,Entire home/apt,950,2,3,2024-12-12,3,1,159,3,
1297298729805595917,All-inclusive apartment for 3,421396487,Odwa,,Ward 22,-33.938531329033836,18.630508223996706,Entire home/apt,650,1,2,2024-12-04,2,1,355,2,
1297383044997662073,Briza suites - Modern 2 bedroom home,660306066,Kyle,,Ward 113,-33.82354599784767,18.495475624469897,Entire home/apt,1750,1,2,2024-12-24,2,2,354,2,
1297527249028420962,Metropole Green Point -Private Room 2nd Floor Stay,659351385,Scott,,Ward 115,-33.90775,18.40593,Entire home/apt,785,2,0,,,20,28,0,
1297558459389758006,Cosy 2 Bed Apartment | Harbour Views,663868084,Chregan,,Ward 115,-33.9149323,18.4191519,Entire home/apt,4761,2,0,,,1,334,0,
1297564422151674373,Metropole Green Point: Chic 2nd Floor Room,659351385,Scott,,Ward 115,-33.907809117881264,18.40528641770925,Entire home/apt,785,2,0,,,20,28,0,
1297567383425193065,Stunning Penthouse with Sweeping Mountain Views,663869306,Chregan,,Ward 115,-33.918229579717774,18.41776830695173,Entire home/apt,7975,2,0,,,1,301,0,
1297568011475473547,Sunshine Haven,197514655,Morne Gabriel,,Ward 23,-33.72688046379324,18.445382913351878,Entire home/apt,2720,7,0,,,1,38,0,
1297568670746595948,City Apartment | Mountain Views,663869568,Chregan,,Ward 115,-33.9182604,18.4179181,Entire home/apt,1838,4,0,,,1,347,0,
1297599320495719381,Cute and Cozy in Goodwood,126058380,Riana,,Ward 27,-33.8983876,18.5468033,Entire home/apt,550,1,0,,,3,297,0,
1297599802904451653,Melody on the Mountain,60463535,Maisie,,Ward 69,-34.096908262362035,18.36333439847433,Entire home/apt,3200,2,0,,,4,356,0,
1294032406473458524,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92358807592237,18.422083375831125,Private room,2000,1,0,,,163,365,0,
1294034209204720410,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92395,18.42149,Private room,2000,1,0,,,163,365,0,
1294035622414343669,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92177942321983,18.42243596571234,Private room,2000,1,0,,,163,365,0,
1294036649504289178,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92272267330727,18.423614492256338,Private room,2000,1,0,,,163,365,0,
1294038322123611688,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92336140042163,18.42383098540107,Private room,2000,1,0,,,163,365,0,
1294038533471517657,Trendy Bo-Kaap Villa,345843188,Tyler,,Ward 77,-33.9196416,18.4146659,Entire home/apt,5686,1,0,,,34,57,0,
1294039420204650053,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.9213588979142,18.423979866916163,Private room,2000,1,0,,,163,365,0,
1294040546599726254,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92147968796043,18.422271854403043,Private room,2000,1,0,,,163,365,0,
1294042004917691033,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92199655222459,18.423759018822786,Private room,2000,1,0,,,163,365,0,
1294044925503212671,Luxury Villa with Table Mountain Views,663108314,Chregan,,Ward 77,-33.9262288,18.4059778,Entire home/apt,9936,3,0,,,1,204,0,
1294045467806518924,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92317904331426,18.42246089316409,Private room,2000,1,0,,,163,365,0,
1294046618892477282,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92218,18.4235,Private room,2000,1,0,,,163,365,0,
1294047958726450711,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.923447526935924,18.42395892528568,Private room,2000,1,0,,,163,365,0,
1294065781736612269,Room with a garden,342379975,Charles Christo,,Ward 77,-33.93685780408721,18.427689841456424,Private room,600,5,0,,,2,46,0,
1294072132634624900,Contemporary 1BD Apartment Woodstock,449048067,James,,Ward 115,-33.925743445653026,18.456468979805635,Entire home/apt,711,2,2,2024-12-12,2,12,141,2,
